hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
20:17:00,01/02/2018,2018,JOSE VASCONCELOS,RIO SUCHIATE,Atropello,Otros,1,0,1,25.652635,-100.37896
14:30:00,13/02/2018,2018,JOSE VASCONCELOS,CONQUISTADORES,Atropello,Viro indebidamente,1,0,1,25.656253,-100.387779
12:27:00,14/03/2018,2018,JOSE VASCONCELOS,JUAN I. RAMON,Atropello,Viro indebidamente,1,0,1,25.659484,-100.394609
9:27:00,15/03/2018,2018,JOSE VASCONCELOS,MARIANO MATAMOROS,Atropello,Viro indebidamente,1,0,1,25.660094,-100.396392
19:20:00,26/05/2018,2018,JOSE VASCONCELOS,GENERAL TREVIÑO,Atropello,Viro indebidamente,1,0,1,25.661003,-100.39905
6:48:00,12/06/2018,2018,JOSE VASCONCELOS,NEIL ARMSTRONG,Atropello,Otros,1,0,1,25.6571908,-100.38968
17:15:00,10/09/2018,2018,JOSE VASCONCELOS,GENERAL NARANJO,Atropello,Otros,1,0,1,25.660701,-100.39818
9:47:00,31/10/2018,2018,JOSE VASCONCELOS,JIMENEZ,Atropello,Distraccion,1,0,1,25.664406,-100.408864
19:21:00,04/03/2019,2019,JOSE VASCONCELOS,BOSQUES DE CANADA,Atropello,Distraccion,1,0,1,25.651401,-100.37349
18:40:00,12/08/2019,2019,JOSE VASCONCELOS,RIO LYS,Atropello,Viro indebidamente,2,0,2,25.6564474,-100.388204
16:55:00,16/08/2019,2019,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Viro indebidamente,1,0,1,25.6625133,-100.4035
7:59:00,14/11/2019,2019,JOSE VASCONCELOS,CALZADA EL ROSARIO,Atropello,Distraccion,1,0,1,25.6553818,-100.385635
21:22:00,09/11/2019,2019,LA INDUSTRIA,RICARDO MARGAIN,Atropello,Otros,1,0,1,25.645805,-100.352785
21:31:00,18/04/2017,2017,LAZARO CARDENAS,OCTAVIO PAZ,Atropello,Otros,0,1,1,25.650639,-100.33261
21:14,06/09/2015,2015,LAZARO CARDENAS,LOMAS DEL MAR,Atropello,Otros,1,0,1,25.6569423,-100.341704
3:02,22/11/2015,2015,LAZARO CARDENAS,JOSE VASCONCELOS,Atropello,Sin Dato,1,0,1,25.654011,-100.339802
15:01,22/12/2015,2015,LAZARO CARDENAS,PEDRO RAMIREZ VAZQUEZ,Atropello,Distraccion,1,0,1,25.641171,-100.317294
7:25:00,18/02/2016,2016,LAZARO CARDENAS,LOMAS DEL MAR,Atropello,Otros,1,0,1,25.656942,-100.341700
22:36:00,26/03/2016,2016,LAZARO CARDENAS,TORREVILLAS,Atropello,Otros,1,0,1,25.652719,-100.335410
